@tasks 20
T0 5 1(0) 2(0) 3(0) 4(0) 5(0) 
T1 0 
T2 5 6(0) 7(0) 8(0) 9(0) 12(0) 
T3 1 9(0) 
T4 0 
T5 2 18(0) 19(0) 
T6 1 9(0) 
T7 0 
T8 2 10(0) 11(0) 
T9 0 
T10 0 
T11 0 
T12 5 13(0) 14(0) 15(0) 16(0) 17(0) 
T13 0 
T14 0 
T15 0 
T16 0 
T17 0 
T18 0 
T19 0 
@proc 4
285 0 1 
118 0 1
0 0 0 
0 0 0 
@times 
841 693 65 58 
646 595 70 42 
776 637 6 22 
663 335 57 54 
714 785 76 70 
729 684 69 15 
662 55 27 66 
71 897 64 51 
697 868 46 36 
350 923 3 26 
60 679 30 27 
536 337 50 69 
636 587 43 51 
388 519 27 16 
270 852 81 17 
432 752 9 55 
693 76 70 6 
412 805 32 53 
692 636 34 15 
824 511 69 11 
@cost 
5 40 328 293 
48 54 104 46 
10 11 142 405 
7 69 255 183 
61 24 265 319 
31 5 47 392 
12 97 260 330 
71 36 76 111 
54 53 225 370 
55 48 75 385 
56 17 350 145 
42 67 364 99 
17 22 273 175 
8 23 157 213 
66 56 209 253 
14 47 459 159 
38 65 280 153 
19 32 73 367 
12 60 219 345 
25 2 257 178 
@comm 1
CHAN0 59 10 1 1 1 1 
