@tasks 11
T0 1 4(24)
C1 1 10(23)
T2 0 
T3 2 5(13)[2] 6(25)
T4 1 8(20)
C5 0 
T6 0 
T7 2 2(45)[3] 1(12) 9(10) 
T8 2 3(15) 7(22)
T9 1 12(34)
T10 1 11(43)
T11 0
CT12 0
@proc 3
277 0 0 
498 0 1 
372 0 0 
@times
72 890 77 
27 735 50 
[20 + 31 + 40] [300 + 200 + 118] [20 + 20 + 8] 
61 977 42 
33 517 21 
[10 + 13] [300 + 291] [12 + 34]
48 779 21 
69 950 62 
70 874 60 
90 432 54
11 22 33
43 42 41
10 20 30
@costs
814 56 668 
697 41 891 
[400 + 300 + 125] [40 + 30 + 18] [300 + 300 + 386] 
960 67 651 
836 26 723 
[450 + 450] [12 + 21] [321 + 432]
686 86 879 
931 35 695 
542 24 654 
583 54 123
321 654 876
81 27 263
40 20 60
@comm 2
CHAN0 53 25 1 0 1 
CHAN1 100 79 1 1 0
@conditions
C1(TEMPERATURE > 100)
C2(TEMPERATURE > 40)
C5(VELOCITY > 300)
C12(DONE[3] == 1)
